"","ip","date","time","cik","accession","extention","size","frequencyCounter","cikDownloaded","LM"
"286","24.145.213.beh","2011-02-11",1297437494,75208,"0001140361-11-006355","xslF345X03/doc1.xml",19634,232,175,"robot"
"287","24.145.213.beh","2011-02-11",1297437487,75208,"0001140361-11-006357","xslF345X03/doc1.xml",19728,232,175,"robot"
"288","98.73.50.jdd","2011-02-11",1297437475,1141788,"0001188112-11-000245","t69525_10qa.htm",465343,1,1,"human"
"289","24.145.213.beh","2011-02-11",1297437458,75208,"0001140361-10-033941","xslF345X03/doc1.xml",21343,232,175,"robot"
"290","24.145.213.beh","2011-02-11",1297437451,75208,"0001140361-10-034874","xslF345X03/doc1.xml",46064,232,175,"robot"
"291","24.145.213.beh","2011-02-11",1297437444,75208,"0001140361-10-034879","xslF345X03/doc1.xml",26292,232,175,"robot"
"292","24.145.213.beh","2011-02-11",1297437430,75208,"0001140361-10-035209","xslF345X03/doc1.xml",46057,232,175,"robot"
"293","24.145.213.beh","2011-02-11",1297437425,75208,"0001140361-10-035211","xslF345X03/doc1.xml",21354,232,175,"robot"
"294","24.145.213.beh","2011-02-11",1297437419,75208,"0001140361-10-035492","xslF345X03/doc1.xml",25304,232,175,"robot"
"295","24.145.213.beh","2011-02-11",1297437412,75208,"0001140361-10-035662","xslF345X03/doc1.xml",36181,232,175,"robot"
"296","76.10.149.gge","2011-02-11",1297437412,758004,"0000950123-11-011959","c62860i4exv99w1.htm",3709,4,2,"human"
"297","24.145.213.beh","2011-02-11",1297437407,75208,"0001140361-10-035814","xslF345X03/doc1.xml",19371,232,175,"robot"
"298","72.160.36.baj","2011-02-11",1297437403,1092299,"0001077048-05-000578","ex99-2.htm",13430,11,1,"human"
"299","24.145.213.beh","2011-02-11",1297437401,75208,"0001140361-11-003842","xslF345X03/doc1.xml",20540,232,175,"robot"
"300","76.10.149.gge","2011-02-11",1297437396,758004,"0000950123-11-011959","c62860i4sc13gza.htm",36822,4,2,"human"
"301","24.145.213.beh","2011-02-11",1297437389,75208,"0001140361-11-004383","xslF345X03/doc1.xml",19464,232,175,"robot"
"302","76.10.149.gge","2011-02-11",1297437372,102909,"0000932471-11-001454","novellinc_amd1.htm",38239,4,2,"human"
"303","24.145.213.beh","2011-02-11",1297437364,75208,"0001140361-11-007701","xslF345X03/doc1.xml",43485,232,175,"robot"
"304","24.145.213.beh","2011-02-11",1297437353,75208,"0001140361-11-007704","xslF345X03/doc1.xml",26397,232,175,"robot"
"305","76.10.149.gge","2011-02-11",1297437330,758004,"0001086364-11-003462","novellinc123110.txt",11455,4,2,"human"
"306","24.145.213.beh","2011-02-11",1297437323,75208,"0001140361-11-007704","xslF345X03/doc1.xml",26397,232,175,"robot"
"307","24.145.213.beh","2011-02-11",1297437318,1039065,"0001181431-11-009282","xslF345X03/rrd300771.xml",17250,232,175,"robot"
"308","24.145.213.beh","2011-02-11",1297437308,826154,"0000826154-11-000003","xslF345X03/primary_doc.xml",17550,232,175,"robot"
"309","24.145.213.beh","2011-02-11",1297437299,1022225,"0001140361-11-007808","xslF345X03/doc1.xml",20419,232,175,"robot"
"310","68.146.120.def","2011-02-11",1297437289,47580,"0001104659-07-059749","a07-18750_110q.htm",1264912,6,4,"human"
"311","24.145.213.beh","2011-02-11",1297437280,878927,"0001140361-09-020987","xslF345X03/doc1.xml",17297,232,175,"robot"
"312","24.145.213.beh","2011-02-11",1297437274,878927,"0001140361-10-023777","xslF345X03/doc1.xml",18401,232,175,"robot"
"313","24.145.213.beh","2011-02-11",1297437245,878927,"0001140361-11-007700","xslF345X03/doc1.xml",17514,232,175,"robot"
"314","24.145.213.beh","2011-02-11",1297437236,1385830,"0001181431-11-009263","xslF345X03/rrd300767.xml",18255,232,175,"robot"
